Hole_ID,From,To,Au_ppm,Cu_pct,Lithology
DH001,0,15,0.3,0.1,Overburden
DH001,15,35,0.8,0.3,Weathered_Granite
DH001,35,60,1.5,0.7,Mineralized_Zone
DH001,60,85,2.3,1.2,High_Grade_Ore
DH001,85,110,1.1,0.5,Mineralized_Zone
DH001,110,150,0.4,0.2,Fresh_Granite
DH002,0,20,0.2,0.1,Overburden
DH002,20,45,0.6,0.3,Weathered_Schist
DH002,45,75,1.8,0.9,Mineralized_Zone
DH002,75,95,2.8,1.5,High_Grade_Ore
DH002,95,130,1.3,0.6,Mineralized_Zone
DH002,130,180.5,0.5,0.2,Fresh_Schist
DH003,0,10,0.4,0.1,Overburden
DH003,10,30,0.9,0.4,Weathered_Granite
DH003,30,60,1.6,0.8,Mineralized_Zone
DH003,60,90,2.0,1.0,High_Grade_Ore
DH003,90,120,0.7,0.3,Fresh_Granite
DH004,0,25,0.3,0.1,Overburden
DH004,25,55,0.7,0.3,Weathered_Schist
DH004,55,90,1.9,0.9,Mineralized_Zone
DH004,90,120,2.5,1.3,High_Grade_Ore
DH004,120,160,1.2,0.6,Mineralized_Zone
DH004,160,200,0.5,0.2,Fresh_Schist
DH005,0,18,0.3,0.1,Overburden
DH005,18,40,0.8,0.4,Weathered_Granite
DH005,40,70,1.7,0.8,Mineralized_Zone
DH005,70,100,2.2,1.1,High_Grade_Ore
DH005,100,135,1.0,0.5,Mineralized_Zone
DH005,135,165,0.4,0.2,Fresh_Granite
DH006,0,15,0.4,0.1,Overburden
DH006,15,35,0.9,0.4,Weathered_Schist
DH006,35,65,1.5,0.7,Mineralized_Zone
DH006,65,95,2.1,1.0,High_Grade_Ore
DH006,95,120,1.1,0.5,Mineralized_Zone
DH006,120,145,0.6,0.3,Fresh_Schist
DH007,0,20,0.3,0.1,Overburden
DH007,20,50,0.7,0.3,Weathered_Granite
DH007,50,85,1.8,0.9,Mineralized_Zone
DH007,85,115,2.4,1.2,High_Grade_Ore
DH007,115,145,1.3,0.6,Mineralized_Zone
DH007,145,175,0.5,0.2,Fresh_Granite
DH008,0,15,0.4,0.1,Overburden
DH008,15,40,0.8,0.4,Weathered_Schist
DH008,40,70,1.6,0.8,Mineralized_Zone
DH008,70,100,2.3,1.1,High_Grade_Ore
DH008,100,130,1.2,0.6,Mineralized_Zone
DH008,130,155,0.6,0.3,Fresh_Schist
DH009,0,18,0.3,0.1,Overburden
DH009,18,42,0.7,0.3,Weathered_Granite
DH009,42,72,1.7,0.8,Mineralized_Zone
DH009,72,102,2.4,1.2,High_Grade_Ore
DH009,102,135,1.1,0.5,Mineralized_Zone
DH009,135,160,0.5,0.2,Fresh_Granite
DH010,0,20,0.3,0.1,Overburden
DH010,20,48,0.8,0.4,Weathered_Schist
DH010,48,80,1.9,0.9,Mineralized_Zone
DH010,80,110,2.6,1.3,High_Grade_Ore
DH010,110,150,1.3,0.6,Mineralized_Zone
DH010,150,185,0.6,0.3,Fresh_Schist
