Hole_ID,East,North,Elevation,Max_Depth,Azimuth,Dip,Date,Project
DH001,450000,6250000,1251.2,150.0,0,-60,2024-01-15,Exploration_Phase1
DH002,450100,6250000,1250.8,180.0,45,-65,2024-01-20,Exploration_Phase1
DH003,450050,6250050,1252.1,165.0,90,-62,2024-01-22,Exploration_Phase1
DH004,449950,6250050,1249.5,175.0,135,-68,2024-01-25,Exploration_Phase1
DH005,450150,6250050,1251.8,155.0,180,-58,2024-01-28,Exploration_Phase1
DH006,450000,6250100,1250.3,190.0,225,-70,2024-02-01,Exploration_Phase1
DH007,450100,6250100,1252.5,145.0,270,-55,2024-02-05,Exploration_Phase1
DH008,450050,6249950,1251.0,170.0,315,-64,2024-02-08,Exploration_Phase1
DH009,449950,6250000,1250.6,160.0,30,-66,2024-02-12,Exploration_Phase1
DH010,450150,6250000,1251.4,185.0,60,-61,2024-02-15,Exploration_Phase1
